PLAYER,GP,AVG,TTL
WILL GRIER,1,0.0,0.0
DRAKE DABNEY,1,0.0,0.0
RONNIE BELL,1,0.0,0.0
ISAAC GUERENDO,8,0.0,0.0
JASON BROWNLEE,5,0.0,0.0
ULYSSES BENTLEY,1,0.0,0.0
KO KIEFT,3,0.0,0.0
ROBBIE OUZTS,11,0.0,0.0
CAMERON LATU,14,0.0,0.0
JORDAN MIMS,1,0.0,0.0
BRAYDEN WILLIS,6,0.0,0.0
LOGAN WOODSIDE,3,0.0,0.0
DOMINIC LOVETT,8,0.0,0.0
TREYTON WELCH,2,0.0,0.0
XAZAVIAN VALLADAY,1,0.0,0.0
DALEVON CAMPBELL,2,0.0,0.0
SINCERE MCCORMICK,1,0.0,0.0
SIMI FEHOKO,7,0.0,0.0
STETSON BENNETT,1,0.0,0.0
NICK KALLERUP,9,0.0,0.0
RICKY WHITE,2,0.0,0.0
DAN CHISENA,1,0.0,0.0
DALEN CAMBRE,5,0.0,0.0
TEAGAN QUITORIANO,14,0.0,0.0
JUSTIN SHORTER,5,0.0,0.0
JAKOB JOHNSON,7,0.0,0.0
TRAVIS VOKOLEK,3,0.0,0.0
JEREMIAH WEBB,1,0.0,0.0
JACK WESTOVER,16,0.0,0.0
RUSSELL GAGE,1,0.0,0.0
PATRICK MURTAGH,1,0.0,0.0
JEFFERY WILSON,1,0.0,0.0
DEANDRE CARTER,5,0.0,0.0
BRADY RUSSELL,15,0.0,0.0
MALIK TURNER,3,0.0,0.0
BRETT RYPIEN,1,0.0,0.0
KADEN DAVIS,2,0.0,0.0
JORDAN JAMES,2,0.0,0.0
JALEN CROPPER,4,0.0,0.0
STEPHEN CARLSON,2,0.0,0.0
JALEN ROYALS,6,0.0,0.0
KENNY YEBOAH,1,0.0,0.0
TREY SERMON,3,0.0,0.0
JACKSON MEEKS,2,0.0,0.0
NICK VANNETT,4,0.0,0.0
AVERY WILLIAMS,1,0.0,0.0
JACOB COWING,1,0.0,0.0
JACOREY BROOKS,1,0.0,0.0
LEW NICHOLS,2,0.0,0.0
JARRETT STIDHAM,1,-0.1,-0.1
ADRIAN MARTINEZ,1,-0.1,-0.1
KEDON SLOVIS,2,0.0,-0.1
DERIUS DAVIS,10,0.0,-0.2
TRAVIS HOMER,7,0.0,-0.2
ANDRE MILLER,3,-0.1,-0.2
KYLE ALLEN,4,-0.1,-0.3
KESHAWN WILLIAMS,10,0.0,-0.4
NICK MULLENS,4,-0.1,-0.5
CLAYTON TUNE,1,-0.7,-0.7
JIMMY GAROPPOLO,4,-0.2,-0.7
XAVIER GIPSON,6,-0.2,-1.4
JALEN MILROE,4,-0.4,-1.6
LAJOHNTAY WESTER,15,-0.1,-2.0
JAMAL AGNEW,11,-0.2,-2.0
MECOLE HARDMAN,2,-1.0,-2.0
MYLES PRICE,16,-0.4,-6.0
