RK,PLAYER,POS,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
26,Derrick Henry   BAL,RB,16,29.2,2.3,10.7,7.8,9.3,14.0,BYE,19.1,13.1,11.4,20.2,22.8,17.4,11.2,10.0,22.8,45.6,16.7,266.9
27,Chase Brown   CIN,RB,16,13.1,8.5,6.0,10.1,11.8,8.9,12.0,25.5,19.2,BYE,18.7,15.0,18.3,18.5,16.0,32.9,29.1,16.5,263.6
28,Kyren Williams   LAR,RB,16,13.9,10.0,19.2,10.4,31.1,16.7,8.5,BYE,17.4,22.4,16.6,5.8,13.2,17.7,21.8,11.5,16.0,15.8,252.2
29,Travis Etienne Jr.   JAC,RB,16,18.6,16.9,11.6,19.5,8.8,9.5,6.5,BYE,16.5,15.7,19.3,20.6,5.1,21.2,31.5,16.6,11.2,15.6,249.1
30,Javonte Williams   DAL,RB,16,20.4,25.0,12.2,19.0,26.9,8.4,18.8,17.9,7.3,BYE,10.3,12.1,17.0,14.7,15.1,6.3,11.4,15.2,242.8
31,Jordan Love   GB,QB,15,15.9,20.9,12.1,26.3,BYE,16.0,13.4,28.3,10.0,7.8,17.7,7.1,25.8,20.3,15.9,3.8,—,16.1,241.1
32,Sam Darnold   SEA,QB,16,5.4,17.8,16.7,16.1,28.6,20.0,9.6,BYE,28.2,5.9,8.3,17.7,3.1,23.3,11.3,21.5,7.1,15.0,240.6
33,Josh Jacobs   GB,RB,15,14.0,14.4,12.4,31.7,BYE,32.0,18.8,13.5,20.0,19.7,4.0,—,10.1,17.2,23.2,4.8,1.3,15.8,237.1
34,Daniel Jones   IND,QB,13,29.5,22.8,15.8,12.4,16.7,23.5,22.2,23.2,17.1,16.5,BYE,16.8,16.1,1.8,—,—,—,18.0,234.4
35,Ashton Jeanty   LV,RB,16,12.0,7.4,6.3,33.5,15.9,16.6,4.4,BYE,19.9,15.3,9.4,24.8,12.1,5.8,8.2,31.8,9.3,14.5,232.7
36,Saquon Barkley   PHI,RB,16,18.4,17.4,9.5,17.4,17.8,8.7,5.2,33.4,BYE,13.1,10.0,12.4,5.6,18.2,17.2,21.2,6.8,14.5,232.3
37,Nico Collins   HOU,WR,15,5.5,14.2,22.4,11.9,16.0,BYE,6.7,—,14.5,22.6,24.2,8.5,21.5,16.1,23.5,9.9,8.7,15.1,226.2
37,Jaxson Dart   NYG,QB,13,—,-0.3,0.3,19.8,17.6,23.6,29.4,19.4,27.2,26.3,—,—,13.6,BYE,23.1,1.0,25.1,17.4,226.2
39,Davante Adams   LAR,WR,14,9.1,22.6,14.6,15.6,13.8,7.9,26.5,BYE,23.0,19.7,7.1,23.2,21.8,6.9,11.1,—,—,15.9,222.9
40,D'Andre Swift   CHI,RB,15,9.5,13.9,10.8,16.0,BYE,25.5,20.8,15.1,—,14.8,9.0,1.9,20.8,11.2,22.6,9.0,21.9,14.9,222.8
41,A.J. Brown   PHI,WR,15,1.8,7.7,22.9,2.7,9.3,14.0,28.1,—,BYE,3.3,11.9,25.0,35.2,16.0,12.1,18.5,11.8,14.7,220.3
42,Jacoby Brissett   ARI,QB,13,—,0.2,—,—,0.0,21.7,19.8,BYE,24.8,19.4,23.9,18.7,20.6,20.0,21.6,11.6,16.5,16.8,218.8
43,Courtland Sutton   DEN,WR,16,18.1,1.6,23.8,19.1,17.9,2.7,16.7,10.7,10.0,5.4,9.9,BYE,17.2,12.2,24.3,20.6,8.0,13.6,218.2
44,Wan'Dale Robinson   NYG,WR,16,11.5,28.2,3.6,4.4,8.2,20.4,15.5,7.8,13.6,12.2,7.6,30.6,10.4,BYE,16.4,5.2,22.3,13.6,217.9
45,Aaron Rodgers   PIT,QB,15,25.7,12.4,12.7,12.8,BYE,17.5,24.6,16.8,12.1,8.4,9.4,—,2.7,21.5,17.0,15.5,7.3,14.4,216.3
46,Zay Flowers   BAL,WR,16,28.1,14.9,3.3,14.4,12.2,8.6,BYE,14.1,11.4,12.1,11.3,11.9,0.6,20.6,15.8,21.2,13.0,13.3,213.5
47,Rico Dowdle   CAR,RB,16,3.6,2.9,10.8,4.0,32.4,33.9,10.6,5.4,28.1,15.3,15.0,11.4,9.9,BYE,12.4,8.3,9.3,13.3,213.3
48,Bryce Young   CAR,QB,15,10.2,22.3,11.6,10.3,13.0,19.5,10.5,—,4.0,2.6,31.8,10.3,22.5,BYE,15.4,17.6,9.9,14.1,211.5
49,Breece Hall   NYJ,RB,16,16.5,5.8,9.2,16.1,17.5,5.9,7.2,32.9,BYE,19.5,8.4,13.9,15.6,4.3,5.7,8.3,20.9,13.0,207.7
50,Jameson Williams   DET,WR,16,6.6,18.8,6.3,5.7,2.0,18.6,0.0,BYE,16.6,23.9,19.7,0.0,26.9,17.3,26.4,12.0,5.7,12.9,206.5
51,Stefon Diggs   NE,WR,16,11.7,7.2,5.3,16.1,24.6,5.8,13.9,10.4,12.8,15.6,19.5,4.0,5.6,BYE,5.6,22.8,22.1,12.7,203.0
52,RJ Harvey   DEN,RB,16,7.9,3.4,4.6,19.8,6.0,6.5,7.2,24.1,16.6,3.8,8.0,BYE,21.2,22.0,10.5,22.1,18.6,12.6,202.3
53,Jaylen Warren   PIT,RB,15,13.9,17.4,13.1,—,BYE,8.3,19.8,9.3,16.9,11.1,8.7,12.8,12.4,15.2,7.8,29.1,6.4,13.5,202.2
54,Tetairoa McMillan   CAR,WR,16,11.8,16.0,7.8,10.2,13.3,17.9,6.3,16.9,8.6,11.0,33.0,11.5,11.3,BYE,4.5,19.3,1.5,12.6,200.9
55,Lamar Jackson   BAL,QB,12,29.4,26.3,27.0,11.7,—,—,BYE,—,25.6,16.6,6.7,7.2,7.5,22.1,15.6,4.7,—,16.7,200.4
56,Kenny Gainwell   PIT,RB,16,5.3,6.6,9.6,31.4,BYE,9.6,3.5,3.5,7.4,2.4,29.5,18.2,6.5,16.2,19.6,23.8,6.8,12.5,199.9
57,Michael Wilson   ARI,WR,16,1.5,8.1,1.5,4.5,3.6,8.4,7.0,BYE,9.1,7.4,33.5,21.8,6.6,37.2,16.4,13.2,19.9,12.5,199.7
58,CeeDee Lamb   DAL,WR,13,18.0,20.2,0.0,—,—,—,22.0,14.6,15.5,BYE,17.6,11.5,24.2,18.1,17.1,11.1,9.6,15.3,199.5
59,Michael Pittman Jr.   IND,WR,16,20.0,8.0,19.3,15.1,14.9,4.0,20.8,23.5,20.5,3.9,BYE,13.7,2.3,16.9,5.6,7.2,3.6,12.5,199.3
59,C.J. Stroud   HOU,QB,13,9.7,15.0,12.4,18.4,28.8,BYE,14.7,22.7,4.4,—,—,—,10.0,12.6,23.4,11.5,15.8,15.3,199.3
61,Kyle Pitts Sr.   ATL,TE,16,12.9,7.7,7.9,18.0,BYE,4.8,13.2,14.9,7.8,5.8,3.4,4.5,15.2,15.0,45.6,18.7,3.6,12.4,199.0
62,Jaylen Waddle   MIA,WR,16,7.0,17.8,14.9,7.8,23.0,15.8,2.5,20.9,14.2,19.4,8.2,BYE,7.0,18.1,4.6,12.2,0.7,12.1,194.1
63,Jason Myers   SEA,K,16,8.0,9.0,17.0,14.0,5.0,10.0,10.0,BYE,9.0,15.0,15.0,13.0,19.0,14.0,24.0,2.0,10.0,12.1,194.0
64,Emeka Egbuka   TB,WR,16,23.6,12.9,14.5,20.1,31.3,4.4,9.8,6.5,BYE,23.5,9.0,6.2,8.2,3.5,10.4,5.0,5.0,12.1,193.9
65,DeVonta Smith   PHI,WR,16,4.6,9.3,20.0,4.9,19.4,8.9,33.3,14.4,BYE,16.9,1.8,14.9,9.8,7.7,7.0,16.2,4.5,12.1,193.6
66,Tee Higgins   CIN,WR,14,6.3,14.6,2.5,6.2,11.2,11.2,21.6,11.4,33.1,BYE,15.3,8.1,—,27.2,—,14.3,9.9,13.8,192.9
67,Geno Smith   LV,QB,15,18.5,6.2,26.1,12.8,7.9,9.7,2.8,BYE,27.3,5.4,13.9,14.2,13.0,9.0,—,15.0,9.1,12.7,190.9
68,Travis Kelce   KC,TE,16,12.7,10.1,6.6,9.8,19.1,13.8,8.4,21.9,12.6,BYE,24.1,8.4,15.5,1.8,14.0,1.6,8.6,11.8,189.0
69,TreVeyon Henderson   NE,RB,16,11.1,6.0,7.7,12.6,4.7,4.6,0.5,5.5,12.7,28.0,32.3,11.1,11.6,BYE,30.1,2.2,8.2,11.8,188.9
70,DK Metcalf   PIT,WR,15,12.3,11.0,12.2,23.6,BYE,19.5,8.0,16.5,2.6,6.5,9.9,14.4,6.2,21.8,14.5,8.2,—,12.5,187.2
71,Jake Ferguson   DAL,TE,16,7.3,16.8,21.2,17.0,23.9,12.3,21.9,0.0,8.0,BYE,11.6,11.1,8.6,10.8,3.6,4.9,7.6,11.7,186.6
72,Harold Fannin Jr.   CLE,TE,16,13.6,9.8,5.5,4.5,11.3,15.1,7.6,18.4,BYE,8.4,4.6,8.4,11.3,25.4,12.0,19.5,11.0,11.7,186.4
73,Dallas Goedert   PHI,TE,15,11.4,—,10.3,19.7,10.9,26.0,4.8,17.8,BYE,8.3,4.4,4.0,4.7,15.8,25.0,12.2,9.8,12.3,185.1
74,Cam Ward   TEN,QB,16,2.5,9.8,13.0,5.5,9.0,7.9,11.2,13.8,6.4,BYE,13.1,23.9,6.3,12.1,15.0,18.0,17.0,11.5,184.5
75,Deebo Samuel Sr.   WAS,WR,15,22.6,17.4,4.9,20.1,23.6,5.4,—,4.2,9.4,12.9,20.7,BYE,11.1,6.7,7.3,6.5,11.3,12.3,184.1
75,Drake London   ATL,WR,11,13.5,5.9,10.5,25.0,BYE,31.8,8.2,—,38.8,24.4,18.9,—,—,—,—,5.7,1.4,16.7,184.1
77,Justin Jefferson   MIN,WR,16,14.8,11.1,12.5,22.6,19.3,BYE,12.9,14.4,16.7,7.7,11.1,8.8,2.4,3.1,4.2,14.5,7.0,11.4,183.1
78,Brandon Aubrey   DAL,K,16,11.0,22.0,8.0,8.0,7.0,9.0,17.0,6.0,5.0,BYE,9.0,7.0,12.0,23.0,16.6,5.0,17.0,11.4,182.6
79,Brock Purdy   SF,QB,8,18.8,—,—,19.7,—,—,—,—,—,—,19.3,10.3,17.1,BYE,26.2,31.9,37.9,22.7,181.2
80,Ladd McConkey   LAC,WR,16,13.4,9.8,8.1,2.1,14.9,23.0,15.7,20.8,9.6,20.7,4.3,BYE,13.9,2.2,4.0,14.3,4.1,11.3,180.9
80,Tyler Warren   IND,TE,16,14.9,11.9,6.8,18.3,14.4,18.3,16.9,9.3,7.6,17.9,BYE,9.5,11.2,3.7,4.9,6.0,9.3,11.3,180.9
82,Troy Franklin   DEN,WR,16,8.4,24.0,2.8,9.5,8.5,3.1,12.9,26.9,8.3,15.0,12.4,BYE,4.1,4.1,20.8,10.6,5.7,11.1,177.1
83,Tony Pollard   TEN,RB,16,7.9,9.2,13.9,10.6,14.8,6.7,12.1,6.3,7.8,BYE,5.6,8.1,5.3,28.1,18.2,10.2,11.5,11.0,176.3
84,Brock Bowers   LV,TE,12,15.3,8.8,9.8,9.6,—,—,—,BYE,43.3,3.7,14.2,11.5,22.3,14.6,8.8,14.3,—,14.7,176.2
85,Tua Tagovailoa   MIA,QB,14,7.3,19.6,13.8,15.7,22.7,9.6,1.6,24.2,9.5,12.8,6.8,BYE,5.7,9.1,17.2,—,—,12.6,175.7
86,Kenneth Walker III   SEA,RB,16,5.4,18.8,18.0,12.0,9.6,4.7,6.6,BYE,8.1,8.0,20.1,13.1,10.4,3.8,2.9,25.4,7.7,10.9,174.6
87,Juwan Johnson   NO,TE,16,15.6,15.9,11.1,5.8,3.7,1.5,12.9,10.3,12.1,19.2,BYE,10.6,8.9,7.8,7.0,16.9,13.5,10.8,172.8
88,Keenan Allen   LAC,WR,16,19.8,17.1,19.5,8.7,10.8,6.7,28.9,8.4,6.1,3.9,9.3,BYE,7.0,5.2,8.6,9.4,2.7,10.8,172.1
89,Quentin Johnston   LAC,WR,14,24.9,15.9,14.9,23.8,6.9,—,11.0,0.0,15.3,9.2,0.0,BYE,11.3,2.8,—,20.4,14.8,12.2,171.2
90,Quinshon Judkins   CLE,RB,14,—,10.1,16.5,21.5,13.8,3.6,26.4,4.7,BYE,10.5,5.9,16.7,15.9,9.4,4.7,10.1,—,12.1,169.8
91,Hunter Henry   NE,TE,16,10.6,1.9,29.0,11.9,6.6,5.7,7.3,7.7,9.1,1.9,8.5,24.5,11.3,BYE,2.8,15.5,13.9,10.5,168.2
92,DJ Moore   CHI,WR,16,8.6,9.6,12.8,7.8,BYE,8.2,8.2,11.6,23.0,0.0,3.1,23.4,4.7,0.6,22.9,21.9,1.7,10.5,168.1
93,Ka'imi Fairbairn   HOU,K,14,14.0,9.0,4.0,10.0,18.0,BYE,8.0,14.0,18.0,—,—,12.0,9.0,8.0,18.0,16.0,10.0,12.0,168.0
94,Seattle Seahawks   SEA,DST,16,8.0,14.0,16.0,11.0,-3.0,11.0,9.0,BYE,9.0,21.0,2.0,4.0,30.0,19.0,4.0,2.0,10.0,10.4,167.0
94,Cameron Dicker   LAC,K,16,9.0,8.0,12.0,5.0,6.0,17.0,7.0,15.0,11.0,14.0,8.0,BYE,9.0,20.0,12.0,10.0,4.0,10.4,167.0
96,Jakobi Meyers   JAC,WR,15,17.7,12.8,9.3,7.0,7.2,7.9,—,BYE,6.3,7.1,11.4,15.0,21.3,14.8,12.1,8.6,7.9,11.1,166.4
96,Dalton Schultz   HOU,TE,16,5.8,5.9,8.9,8.0,11.0,BYE,18.8,4.4,13.7,18.3,11.1,1.8,12.5,5.2,21.6,14.5,4.9,10.4,166.4
96,Khalil Shakir   BUF,WR,16,12.4,2.2,14.5,17.9,11.0,6.3,BYE,20.8,11.3,12.8,0.7,17.0,1.5,9.6,11.5,7.4,9.5,10.4,166.4
99,Jauan Jennings   SF,WR,14,3.6,19.9,—,6.4,—,1.7,7.1,8.5,14.1,17.1,9.4,15.1,13.9,BYE,18.7,18.1,12.2,11.8,165.8
100,Romeo Doubs   GB,WR,16,8.8,11.8,4.5,29.8,BYE,10.5,13.2,9.4,16.1,1.5,9.3,4.3,12.0,0.0,5.6,19.4,9.2,10.3,165.4
101,Parker Washington   JAC,WR,15,0.0,12.6,7.4,5.9,9.6,4.9,10.2,BYE,17.0,17.9,4.0,18.1,3.6,—,8.3,26.5,19.0,11.0,165.0
102,Zach Charbonnet   SEA,RB,15,10.7,1.0,—,12.4,11.8,4.7,19.5,BYE,5.6,14.3,6.7,9.5,11.2,8.6,3.1,17.4,26.2,10.8,162.7
103,David Montgomery   DET,RB,16,8.3,13.1,29.4,1.2,18.2,8.1,5.9,BYE,11.0,10.1,4.7,6.7,12.8,14.3,9.2,1.4,6.0,10.0,160.4
104,Joe Flacco   CIN,QB,12,14.2,9.8,4.7,3.3,—,18.8,26.0,24.3,32.7,BYE,10.9,10.6,—,—,—,0.2,1.2,13.0,156.5
105,Tre Tucker   LV,WR,16,13.4,4.9,40.9,4.2,11.1,12.0,8.3,BYE,6.8,5.5,14.7,5.8,5.0,4.4,0.0,9.4,9.9,9.8,156.3
106,Rashid Shaheed   SEA,WR,17,9.3,15.2,8.2,9.2,21.4,6.8,8.0,14.5,11.8,3.3,4.9,0.5,2.6,16.7,12.1,9.1,1.8,9.1,155.4
107,Alec Pierce   IND,WR,14,4.6,10.8,10.7,—,—,6.8,14.8,8.9,17.5,18.4,BYE,3.6,17.8,13.0,2.6,24.6,0.0,11.0,154.1
108,George Kittle   SF,TE,10,12.5,—,—,—,—,—,0.0,14.3,6.9,23.4,24.7,13.8,10.7,BYE,22.8,24.5,—,15.4,153.6
109,Houston Texans   HOU,DST,16,6.0,7.0,5.0,14.0,11.0,BYE,18.0,5.0,8.0,14.0,9.0,15.0,2.0,12.0,7.0,11.0,8.0,9.5,152.0
110,Rashee Rice   KC,WR,8,—,—,—,—,—,—,23.2,25.5,18.6,BYE,9.8,24.1,29.4,7.4,12.1,—,—,18.8,150.1
111,Cam Little   JAC,K,16,15.0,10.0,5.0,9.0,9.0,0.0,1.0,BYE,15.0,13.0,5.0,13.0,6.0,11.0,12.0,11.0,14.0,9.3,149.0
112,Will Reichard   MIN,K,16,9.0,8.0,14.0,8.0,3.0,BYE,18.0,6.0,11.0,9.0,5.0,10.0,0.0,8.0,12.0,11.0,16.0,9.3,148.0
113,Rome Odunze   CHI,WR,12,15.7,31.8,15.2,16.9,BYE,5.2,5.1,18.4,0.0,20.6,6.1,8.3,2.8,—,—,—,—,12.2,146.1
114,Chase McLaughlin   TB,K,16,6.0,2.0,21.0,16.0,12.0,7.0,5.0,17.0,BYE,5.0,8.0,1.0,10.0,9.0,11.0,10.0,5.0,9.1,145.0
115,Woody Marks   HOU,RB,15,0.3,6.1,4.6,27.9,2.4,BYE,12.5,15.1,2.7,16.1,6.1,7.9,7.7,15.6,10.8,—,8.5,9.6,144.3
116,AJ Barner   SEA,TE,16,1.2,10.8,3.3,12.2,24.3,10.1,1.9,BYE,11.5,0.3,17.1,3.8,7.7,5.7,5.7,15.0,13.3,9.0,143.9
117,Justin Fields   NYJ,QB,9,29.5,4.0,—,27.1,25.9,4.9,4.0,20.9,BYE,8.0,19.3,—,—,—,—,—,—,16.0,143.7
118,Rhamondre Stevenson   NE,RB,13,4.7,21.2,4.6,5.1,14.7,1.8,16.8,5.9,—,—,—,2.0,11.0,BYE,10.7,17.8,27.2,11.0,143.5
119,Tyler Shough   NO,QB,10,—,—,0.0,—,—,—,—,5.3,10.2,19.0,BYE,8.9,18.4,22.3,18.1,17.1,21.9,14.1,141.2
120,Chris Boswell   PIT,K,16,14.0,12.0,3.0,6.0,BYE,15.0,8.0,20.0,10.0,6.0,10.0,4.0,1.0,9.0,4.0,11.0,8.0,8.8,141.0
121,Kyle Monangai   CHI,RB,16,2.1,4.6,3.0,1.8,BYE,5.4,17.4,2.4,22.8,8.8,10.7,10.8,19.0,8.7,3.3,12.3,7.7,8.8,140.8
122,Colston Loveland   CHI,TE,15,3.2,0.0,4.1,—,BYE,3.1,5.4,6.8,29.8,9.5,7.0,14.9,5.8,12.9,10.1,6.0,21.4,9.3,140.0
123,Andy Borregales   NE,K,16,8.0,9.0,2.0,6.0,13.0,5.0,7.0,13.0,6.0,4.0,10.0,18.0,15.0,BYE,7.0,10.0,6.0,8.7,139.0
124,Kareem Hunt   KC,RB,16,4.6,4.4,11.4,5.7,18.7,4.4,1.8,17.2,12.5,BYE,13.2,20.0,9.0,9.0,3.0,0.2,3.8,8.7,138.9
125,Jake Bates   DET,K,16,7.0,10.0,9.0,13.0,5.0,5.0,8.0,BYE,7.0,13.0,5.0,12.0,6.0,16.0,11.0,6.0,5.0,8.6,138.0
126,Jacory Croskey-Merritt   WAS,RB,16,14.2,1.7,10.1,7.7,27.0,5.8,4.2,2.5,5.1,3.0,4.3,BYE,2.0,3.2,15.6,8.5,22.5,8.6,137.4
127,Tyler Loop   BAL,K,16,13.0,12.0,7.0,9.0,4.0,3.0,BYE,13.0,4.0,14.0,12.0,11.0,2.0,10.0,6.0,6.0,11.0,8.6,137.0
128,Rachaad White   TB,RB,16,2.6,14.6,2.4,8.6,23.1,17.6,8.4,8.1,BYE,10.4,8.2,5.2,5.9,6.5,3.6,8.0,3.7,8.6,136.9
129,Mac Jones   SF,QB,11,—,21.8,14.3,—,22.2,13.2,6.2,19.0,15.8,24.1,-0.3,—,0.2,BYE,—,-0.3,—,12.4,136.0
129,Evan McPherson   CIN,K,16,5.0,7.0,5.0,3.0,8.0,5.0,17.0,8.0,11.0,BYE,8.0,12.0,24.0,4.0,0.0,10.0,9.0,8.5,136.0
129,Eddy Pineiro   SF,K,13,—,10.0,12.0,7.0,17.0,18.0,11.0,1.0,12.0,2.0,14.0,—,—,BYE,14.0,12.0,6.0,10.5,136.0
132,Omarion Hampton   LAC,RB,9,8.1,3.5,24.9,27.5,13.0,—,—,—,—,—,—,BYE,—,14.7,7.5,16.5,20.0,15.1,135.7
133,Harrison Butker   KC,K,16,11.0,7.0,13.0,13.0,4.0,6.0,7.0,4.0,8.0,BYE,7.0,16.0,4.0,4.0,8.0,12.0,10.0,8.4,134.0
133,Joey Slye   TEN,K,15,15.0,17.0,11.0,0.0,13.0,—,10.0,2.0,9.0,BYE,10.0,6.0,3.0,8.0,6.0,6.0,18.0,8.9,134.0
135,Jordan Addison   MIN,WR,13,—,—,—,15.4,15.1,BYE,21.8,11.6,8.4,6.5,10.0,0.0,8.6,10.2,8.6,4.6,12.5,10.3,133.3
136,Tyrone Tracy Jr.   NYG,RB,14,5.5,9.1,5.6,—,—,0.6,10.6,7.3,6.7,8.1,17.9,16.0,4.3,BYE,24.7,9.8,6.7,9.5,132.9
137,Marcus Mariota   WAS,QB,12,0.0,—,20.3,17.2,—,—,4.9,13.3,0.0,18.7,16.4,BYE,24.3,-1.1,14.7,3.7,—,11.0,132.5
138,Christian Watson   GB,WR,10,—,—,—,—,BYE,—,—,12.5,7.8,6.5,20.6,9.9,18.3,24.9,5.9,3.7,22.3,13.2,132.4
139,Cairo Santos   CHI,K,14,7.0,3.0,7.0,19.0,BYE,—,—,11.0,11.0,6.0,16.0,8.0,6.0,8.0,8.0,14.0,8.0,9.4,132.0
140,Jacksonville Jaguars   JAC,DST,16,11.0,8.0,12.0,15.0,7.0,2.0,-4.0,BYE,3.0,11.0,12.0,7.0,14.0,10.0,10.0,6.0,7.0,8.2,131.0
140,Philadelphia Eagles   PHI,DST,16,3.0,5.0,13.0,14.0,2.0,1.0,12.0,6.0,BYE,11.0,8.0,5.0,4.0,13.0,16.0,5.0,13.0,8.2,131.0
142,Brian Thomas Jr.   JAC,WR,13,9.0,8.9,7.5,10.6,12.0,23.0,6.1,BYE,8.5,—,—,—,4.8,11.7,17.1,3.8,7.9,10.1,130.9
143,J.J. McCarthy   MIN,QB,9,23.2,4.8,—,—,—,BYE,—,—,19.9,16.7,8.0,2.5,—,20.4,24.5,9.3,—,14.4,129.4
144,Hollywood Brown   KC,WR,15,19.9,8.0,8.2,12.8,8.8,20.5,9.4,0.0,9.3,BYE,8.0,2.0,10.0,4.5,—,5.2,1.7,8.6,128.3
145,Theo Johnson   NYG,TE,15,1.5,7.4,2.0,10.7,21.3,4.7,15.6,5.0,11.7,14.5,6.6,10.7,5.9,BYE,10.2,0.0,—,8.5,127.8
145,Marvin Harrison Jr.   ARI,WR,12,18.1,4.7,7.4,18.6,13.8,5.2,7.8,BYE,22.6,14.3,—,—,12.9,—,—,2.4,0.0,10.7,127.8
147,Cam Skattebo   NYG,RB,8,2.9,13.9,24.1,13.0,14.4,31.0,18.4,10.0,—,—,—,—,—,BYE,—,—,—,16.0,127.7
147,Bucky Irving   TB,RB,9,14.5,18.1,13.9,25.5,—,—,—,—,BYE,—,—,—,16.1,16.1,8.1,7.1,8.3,14.2,127.7
149,Mark Andrews   BAL,TE,16,1.5,1.4,27.1,10.0,4.2,6.6,BYE,6.4,16.6,10.4,15.7,2.1,8.7,1.9,3.8,4.4,6.8,8.0,127.6
